,short_title,url,datetime_local,popularity,score,venue_name,venue_extended_address,stats_listing_count,stats_average_price,stats_lowest_price_good_deals,stats_lowest_price,stats_highest_price,event_promotion
0,Waitress,https://seatgeek.com/waitress-tickets/barrymore-theatre-2021-11-15-7-pm/broadway/5537341,2021-11-15T19:00:00,0.634,0.407,Barrymore Theatre,"New York, NY 10036",2.0,314.0,324.0,304.0,333.0,
1,Company - New York,https://seatgeek.com/company-new-york-tickets/bernard-b-jacobs-theatre-2021-11-15-8-pm/broadway/5501169,2021-11-15T20:00:00,0.57,0.328,Bernard B. Jacobs Theatre,"New York, NY 10036",1.0,1281.0,,1281.0,1314.0,
2,Chicago (Musical) - New York,https://seatgeek.com/chicago-musical-new-york-tickets/ambassador-theatre-2021-11-15-8-pm/broadway/5351359,2021-11-15T20:00:00,0.609,0.392,Ambassador Theatre,"New York, NY 10019",1.0,285.0,,285.0,292.0,
3,Six the Musical - New York,https://seatgeek.com/six-the-musical-new-york-tickets/brooks-atkinson-theatre-2021-11-15-8-pm/broadway/5401209,2021-11-15T20:00:00,0.616,0.398,Brooks Atkinson Theatre,"New York, NY 10036",20.0,513.0,101.0,66.0,1642.0,
4,Chicken and Biscuits - New York,https://seatgeek.com/chicken-and-biscuits-new-york-tickets/circle-in-the-square-theatre-2021-11-16-7-pm/broadway/5530785,2021-11-16T19:00:00,0.585,0.359,Circle In The Square Theatre,"New York, NY 10019",1.0,236.0,,233.0,239.0,
5,To Kill a Mockingbird - New York,https://seatgeek.com/to-kill-a-mockingbird-new-york-tickets/shubert-theatre-1-2021-11-16-7-pm/broadway/5421791,2021-11-16T19:00:00,0.621,0.411,Shubert Theatre,"New York, NY 10036",65.0,1082.0,117.0,108.0,2144.0,
6,Aladdin - New York,https://seatgeek.com/aladdin-new-york-tickets/new-amsterdam-theatre-2021-11-16-7-pm/broadway/5315349,2021-11-16T19:00:00,0.646,0.493,New Amsterdam Theatre,"New York, NY 10036",99.0,437.0,109.0,106.0,1316.0,
7,"Caroline, or Change - New York",https://seatgeek.com/caroline-or-change-new-york-tickets/studio-54-2021-11-16-7-pm/broadway/5485138,2021-11-16T19:00:00,0.587,0.365,Studio 54,"New York, NY 10019",32.0,846.0,516.0,516.0,1314.0,
8,Hadestown,https://seatgeek.com/hadestown-tickets/walter-kerr-theatre-2021-11-16-7-pm/broadway/5383417,2021-11-16T19:00:00,0.828,0.676,Walter Kerr Theatre,"New York, NY 10036",10.0,155.0,142.0,142.0,173.0,
9,Clyde's - New York,https://seatgeek.com/clydes-new-york-tickets/helen-hayes-theatre-2021-11-16-7-pm/broadway/5539099,2021-11-16T19:00:00,0.597,0.373,Helen Hayes Theatre,"New York, NY 10036",10.0,1039.0,643.0,643.0,1445.0,
10,Waitress - New York,https://seatgeek.com/waitress-new-york-tickets/barrymore-theatre-2021-11-16-7-pm/broadway/5447022,2021-11-16T19:00:00,0.61,0.401,Barrymore Theatre,"New York, NY 10036",71.0,412.0,154.0,154.0,627.0,
11,The Lehman Trilogy - New York,https://seatgeek.com/the-lehman-trilogy-new-york-tickets/nederlander-theatre-2021-11-16-7-pm/broadway/5418137,2021-11-16T19:00:00,0.597,0.383,Nederlander Theatre,"New York, NY 10036",57.0,575.0,179.0,99.0,1905.0,
12,TINA - The Tina Turner Musical - New York,https://seatgeek.com/tina-the-tina-turner-musical-new-york-tickets/lunt-fontanne-theatre-2021-11-16-7-pm/broadway/5406677,2021-11-16T19:00:00,0.601,0.397,Lunt-Fontanne Theatre,"New York, NY 10036",128.0,525.0,140.0,134.0,1570.0,
13,Jagged Little Pill - New York,https://seatgeek.com/jagged-little-pill-new-york-tickets/broadhurst-theatre-2021-11-16-7-pm/broadway/5351762,2021-11-16T19:00:00,0.571,0.358,Broadhurst Theatre,"New York, NY 10036",88.0,540.0,119.0,119.0,1347.0,
14,Come From Away - New York,https://seatgeek.com/come-from-away-new-york-tickets/gerald-schoenfeld-theatre-2021-11-16-7-pm/broadway/5401815,2021-11-16T19:00:00,0.609,0.413,Gerald Schoenfeld Theatre,"New York, NY 10036",66.0,465.0,106.0,106.0,962.0,
15,Wicked - New York,https://seatgeek.com/wicked-new-york-tickets/gershwin-theatre-2021-11-16-7-pm/broadway/5405172,2021-11-16T19:00:00,0.608,0.447,Gershwin Theatre,"New York, NY 10019",126.0,388.0,160.0,160.0,824.0,
16,The Lion King - New York,https://seatgeek.com/the-lion-king-new-york-tickets/minskoff-theatre-2021-11-16-7-pm/broadway/5315513,2021-11-16T19:00:00,0.624,0.449,Minskoff Theatre,"New York, NY 10036",79.0,432.0,130.0,130.0,1136.0,
17,The Book of Mormon,https://seatgeek.com/the-book-of-mormon-tickets/eugene-o-neill-theatre-2021-11-16-7-pm/broadway/5424183,2021-11-16T19:00:00,0.791,0.648,Eugene O'Neill Theatre,"New York, NY 10019",76.0,135.0,100.0,100.0,195.0,
